 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8787704243850 ;SP ;SUZANO ;CAXANGA ;ESTRADA SUEO HAGUIHARA, N. 300, Apto 13, BLOCO-10 ;103.704,06;175.000,00;40.75;Apartamento, 0.00 de área total, 41.74 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704243850
 8787712043733 ;SP ;SUZANO ;PARQUE SANTA ROSA ;ESTRADA SANTA MONICA, N. 751, Apto 103, TERREO BL 02 ;161.909,26;208.000,00;22.16;Apartamento, 0.00 de área total, 47.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712043733
 1444412597449 ;SP ;SUZANO ;VILA FIGUEIRA ;AVENIDA AGUA BRANCA, N. 323, Apto 33, BL C ;164.672,38;201.000,00;18.08;Apartamento, 0.00 de área total, 54.67 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412597449
 8787704195473 ;SP ;SUZANO ;PARQUE SANTA ROSA ;ENTRADA SANTA MONICA, N. 1383, Apto 303, 3ºPAV. BL 19. VG ;188.000,00;188.000,00;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704195473
 8787705029593 ;SP ;SUZANO ;PARQUE SANTA ROSA ;ESTRADA SANTA MONICA, N. 1373, Apto 101, BL 15 ;195.400,00;195.400,00;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705029593
 1555505315909 ;SP ;SUZANO ;VILA URUPES ;RUA TOKUZO TERAZAKI, N. 30, Apto 105, BL 02 VG 19 ;200.000,00;200.000,00;0.00;Apartamento, 0.00 de área total, 58.86 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555505315909
 8444425325904 ;SP ;SUZANO ;VILA COLORADO ;RUA JOSE SANCHES MARIN, N. 1500, Apto 4, TIPO 1, BL 07 ;180.000,00;180.000,00;0.00;Apartamento, 0.00 de área total, 42.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425325904
 8444423214188 ;SP ;SUZANO ;CIDADE BOA VISTA ;ESTRADA DO MARENGO, N. 307, Apto 41, B ;165.670,00;165.670,00;0.00;Apartamento, 0.00 de área total, 42.67 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423214188
 8787713941220 ;SP ;SUZANO ;CIDADE BOA VISTA ;AVENIDA BOA VISTA, N. 820, Apto 26, BL D ;209.000,00;209.000,00;0.00;Apartamento, 0.00 de área total, 41.67 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713941220
 8787709372110 ;SP ;SUZANO ;JARDIM EUROPA ;EST TAKASHI KOBATA, N. 535, Apto 403, BL 07 VG 240 ;176.170,35;176.170,35;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709372110
